date,hpi,numsold,log_hpi,diff_log_hpi
1996-05-01,116.27,69,4.755915072680517,0.005260219950444345
1996-06-01,116.74,65,4.759949239775645,0.004034167095128716
1996-07-01,117.15,66,4.763455164953805,0.003505925178159508
1996-08-01,117.13,73,4.763284429081783,-0.00017073587202176554
1996-09-01,117.17,62,4.763625871680064,0.000341442598281283
1996-10-01,116.97,56,4.761917491662616,-0.001708380017448441
1996-11-01,117.13,54,4.763284429081783,0.001366937419167158
1996-12-01,117.14,51,4.7633698006616365,8.537157985344379e-05
1997-01-01,116.98,61,4.76200298001488,-0.00136682064675675
1997-02-01,117.27,69,4.764478968472973,0.002475988458093603
1997-03-01,118.22,81,4.772547295396223,0.008068326923249991
1997-04-01,118.75,70,4.7770204429147505,0.004473147518527121
1997-05-01,119.56,71,4.783818337415737,0.006797894500986779
1997-06-01,120.0,71,4.787491742782046,0.0036734053663085575
1997-07-01,120.3,69,4.789988622980633,0.0024968801985876254
1997-08-01,120.7,72,4.793308128103486,0.0033195051228522843
1997-09-01,120.47,67,4.791400759278761,-0.0019073688247246423
1997-10-01,120.88,62,4.794798317964484,0.003397558685723112
1997-11-01,121.04,61,4.7961210694801,0.0013227515156160052
1997-12-01,121.1,51,4.796616650559047,0.0004955810789466497
1998-01-01,121.22,64,4.797607076523139,0.0009904259640922675
1998-02-01,122.13,75,4.805086051182997,0.007478974659857585
1998-03-01,123.0,81,4.812184355372417,0.007098304189420368
1998-04-01,123.89,82,4.819394075127647,0.007209719755230104
1998-05-01,124.81,82,4.826792580930363,0.007398505802715505
1998-06-01,126.0,83,4.836281906951478,0.009489326021115296
1998-07-01,126.25,75,4.838264068155469,0.001982161203991417
1998-08-01,126.78,75,4.84245330085602,0.004189232700550605
1998-09-01,127.21,68,4.845839264168119,0.0033859633120991717
1998-10-01,127.53,69,4.848351631038809,0.002512366870689675
1998-11-01,128.03,70,4.852264611458088,0.003912980419278789
1998-12-01,128.23,61,4.853825526471025,0.0015609150129369809
1999-01-01,128.76,67,4.8579502064306075,0.004124679959582878
1999-02-01,129.28,76,4.861980594772786,0.0040303883421781705
1999-03-01,130.31,84,4.869916227156815,0.00793563238402939
1999-04-01,131.3,86,4.877484781308751,0.007568554151935913
1999-05-01,132.55,80,4.886959932735035,0.009475151426284079
1999-06-01,133.59,82,4.8947754080017205,0.007815475266685468
1999-07-01,134.24,78,4.8996292427188965,0.004853834717176042
1999-08-01,135.02,78,4.905422915613724,0.005793672894827573
1999-09-01,135.09,65,4.90594122298159,0.0005183073678658445
1999-10-01,135.73,67,4.910667618309874,0.004726395328283672
1999-11-01,135.88,61,4.911772143292383,0.0011045249825096803
1999-12-01,136.13,57,4.913610311524382,0.0018381682319983383
2000-01-01,137.43,67,4.923114696566761,0.009504385042379049
2000-02-01,137.29,78,4.922095476909513,-0.0010192196572473833
2000-03-01,138.85,88,4.933394213752808,0.011298736843294854
2000-04-01,140.16,78,4.9427846271880815,0.00939041343527336
2000-05-01,141.3,77,4.950885289690482,0.008100662502400269
2000-06-01,142.72,71,4.960884668831699,0.009999379141217624
2000-07-01,143.42,76,4.965777388454429,0.004892719622729302
2000-08-01,143.88,73,4.968979618827423,0.0032022303729943857
2000-09-01,144.48,70,4.973141089668675,0.0041614708412520685
2000-10-01,145.0,71,4.976733742420574,0.003592652751899017
2000-11-01,145.48,63,4.980038620118788,0.0033048776982136374
2000-12-01,145.88,65,4.982784365940479,0.0027457458216915143
2001-01-01,146.59,72,4.98763957430194,0.004855208361460583
2001-02-01,147.48,85,4.993692573365943,0.0060529990640034725
2001-03-01,148.88,94,5.003140612333995,0.009448038968051797
2001-04-01,150.08,84,5.011168485257914,0.008027872923919155
2001-05-01,151.3,80,5.01926462079431,0.008096135536395543
2001-06-01,152.56,79,5.027557961292164,0.008293340497854018
2001-07-01,153.43,76,5.033244436957115,0.005686475664950841
2001-08-01,154.0,74,5.0369526024136295,0.003708165456514756
2001-09-01,154.58,66,5.040711761678725,0.003759159265095846
2001-10-01,155.14,66,5.044327935062725,0.0036161733839996657
2001-11-01,155.12,67,5.044199010934396,-0.00012892412832865574
2001-12-01,155.71,66,5.047995302853334,0.003796291918937378
2002-01-01,156.29,66,5.051713255854102,0.0037179530007680484
2002-02-01,157.15,84,5.057200763243577,0.005487507389474899
2002-03-01,158.72,90,5.067141643536563,0.009940880292986343
2002-04-01,160.04,86,5.075423783989034,0.008282140452471332
2002-05-01,161.74,88,5.085990107667676,0.010566323678641965
2002-06-01,163.28,84,5.095466518501589,0.00947641083391293
2002-07-01,164.32,82,5.1018157461802485,0.006349227678659197
2002-08-01,165.28,90,5.107641005371328,0.005825259191079901
2002-09-01,166.04,82,5.112228723184838,0.004587717813509862
2002-10-01,166.77,77,5.116615617633488,0.004386894448649592
2002-11-01,167.16,73,5.118951437579715,0.0023358199462268914
2002-12-01,167.87,70,5.123189870334323,0.004238432754608112
2003-01-01,168.44,76,5.126579603293727,0.00338973295940459
2003-02-01,169.49,82,5.1327939280299635,0.006214324736236065
2003-03-01,170.76,98,5.140259061889761,0.007465133859797746
2003-04-01,172.3,91,5.149237143533884,0.008978081644122504
2003-05-01,173.95,101,5.158767901597951,0.009530758064067335
2003-06-01,175.38,107,5.16695504835121,0.008187146753258823
2003-07-01,176.69,99,5.174396784628558,0.007441736277348454
2003-08-01,177.84,105,5.180884269655941,0.006487485027382611
2003-09-01,178.98,90,5.1872740677547124,0.006389798098771493
2003-10-01,179.59,88,5.190676475030645,0.0034024072759324397
2003-11-01,180.32,76,5.194733050291466,0.004056575260821482
2003-12-01,181.25,75,5.199877293734784,0.005144243443317542
2004-01-01,181.92,89,5.203567030002226,0.0036897362674421785
2004-02-01,183.49,102,5.212160170096862,0.008593140094635743
2004-03-01,185.34,123,5.222191976158546,0.010031806061683746
2004-04-01,187.53,109,5.23393883261183,0.01174685645328477
2004-05-01,190.22,115,5.24818129705424,0.014242464442409286
2004-06-01,192.76,105,5.261445891772132,0.013264594717892209
2004-07-01,194.39,96,5.269866450374021,0.008420558601889283
2004-08-01,195.61,102,5.276122881038268,0.00625643066424697
2004-09-01,196.76,94,5.281984711927139,0.005861830888870934
2004-10-01,197.6,101,5.286244785313768,0.004260073386628704
2004-11-01,198.8,84,5.292299294222474,0.006054508908706069
2004-12-01,199.81,83,5.2973669150120415,0.005067620789567684
2005-01-01,200.46,92,5.30061472559672,0.00324781058467849
2005-02-01,202.23,109,5.309405663533457,0.008790937936737464
2005-03-01,205.07,127,5.323351384267679,0.01394572073422129
2005-04-01,207.63,116,5.335757649521882,0.012406265254202964
2005-05-01,210.33,120,5.348677725886986,0.012920076365104727
2005-06-01,212.79,115,5.3603057638821054,0.011628037995119023
2005-07-01,214.8,117,5.36970736263471,0.009401598752604379
2005-08-01,216.3,110,5.376666332959013,0.006958970324303593
2005-09-01,217.76,99,5.383393538903156,0.006727205944142334
2005-10-01,218.36,105,5.386145076913557,0.002751538010401511
2005-11-01,218.94,86,5.388797719676411,0.0026526427628539295
2005-12-01,219.43,87,5.3910332750477785,0.002235555371367326
2006-01-01,219.99,89,5.393582090773818,0.0025488157260395994
2006-02-01,221.02,88,5.3982531951606365,0.004671104386818392
2006-03-01,222.7,108,5.405825574263322,0.007572379102685822
2006-04-01,224.09,100,5.412047756875059,0.006222182611736571
2006-05-01,225.93,102,5.42022521678137,0.008177459906311135
2006-06-01,226.62,98,5.423274605952421,0.003049389171050798
2006-07-01,226.51,83,5.422789094058876,-0.00048551189354473223
2006-08-01,226.95,88,5.4247297289024745,0.00194063484359841
2006-09-01,226.22,80,5.421507977103235,-0.0032217517992396694
2006-10-01,226.0,74,5.420534999272286,-0.0009729778309486292
2006-11-01,225.73,71,5.4193395947954865,-0.0011954044767996663
2006-12-01,225.02,71,5.416189287142926,-0.0031503076525609686
2007-01-01,224.74,66,5.4149441784797565,-0.00124510866316907
2007-02-01,225.44,68,5.4180540481503705,0.003109869670613996
2007-03-01,227.24,80,5.426006727688926,0.007952679538555607
2007-04-01,228.45,83,5.431317368009281,0.005310640320354665
2007-05-01,228.7,79,5.432411101028736,0.0010937330194549233
2007-06-01,228.71,73,5.432454825477268,4.3724448532067584e-05
2007-07-01,227.39,68,5.4266666049757,-0.00578822050156802
2007-08-01,226.24,60,5.421596382708208,-0.005070222267491431
2007-09-01,224.57,53,5.41418746259045,-0.007408920117758733
2007-10-01,222.33,57,5.404162764631377,-0.010024697959072348
2007-11-01,219.98,45,5.393536633128971,-0.010626131502406544
2007-12-01,217.88,44,5.383944452515474,-0.009592180613497092
2008-01-01,214.74,44,5.3694279940059895,-0.014516458509484131
2008-02-01,214.53,48,5.3684495887284145,-0.0009784052775749785
2008-03-01,213.24,49,5.36241829195456,-0.0060312967738545
